Respondent,Reached end,1.1. Had to temporarily close down or adjust services,1.2. Moved program and service delivery online,1.3. Had to increase hours due to increased demand for programs and services,1.4. Remained closed and unable to offer any programs or services,1.5. Lost funding from program partners or donors,1.6. Lost revenue from user fees,1.7. Had to reduce staff work hours,1.8. Had to lay off employees due to financial constraints,1.9. Hired additional staff,1.10. Lost volunteers,1.11. Had employees that contracted COVID-19,1.12. Had clients that contracted COVID-19,1.13. Developed new partnerships to continue to deliver programs and services,1.14. Had to apply to the Canada Emergency Wage Subsidy (CEWS) to maintain staffing levels,"1.15. Ineligible for federal or provincial supports (e.g. Canada Emergency Wage Subsidy, Canada Emergency Business account)","1.16. Other, please specify","2. Please provide any additional comments on how your agency has been impacted by the COVID-19 pandemic, if not reflected in the previous question.&nbsp &nbsp Please do not provide any personal information in your response.",3.1.1. Public health guidance and information about COVID-19 - Short-term (0-6 months),3.1.2. Public health guidance and information about COVID-19 - Medium-term (6-18 months),3.1.3. Public health guidance and information about COVID-19 - Long-term (18+ months),3.1.4. Public health guidance and information about COVID-19 - N/A,3.2.1. Workplace modification supports (e.g. plexiglass barriers) - Short-term (0-6 months),3.2.2. Workplace modification supports (e.g. plexiglass barriers) - Medium-term (6-18 months),3.2.3. Workplace modification supports (e.g. plexiglass barriers) - Long-term (18+ months),3.2.4. Workplace modification supports (e.g. plexiglass barriers) - N/A,3.3.1. Non-medical cloth masks or personal protective equipment (PPE) - Short-term (0-6 months),3.3.2. Non-medical cloth masks or personal protective equipment (PPE) - Medium-term (6-18 months),3.3.3. Non-medical cloth masks or personal protective equipment (PPE) - Long-term (18+ months),3.3.4. Non-medical cloth masks or personal protective equipment (PPE) - N/A,"3.4.1. Technology supports (e.g. devices, remote meeting technology) - Short-term (0-6 months)","3.4.2. Technology supports (e.g. devices, remote meeting technology) - Medium-term (6-18 months)","3.4.3. Technology supports (e.g. devices, remote meeting technology) - Long-term (18+ months)","3.4.4. Technology supports (e.g. devices, remote meeting technology) - N/A",3.5.1. Funding stabilization or flexibility - Short-term (0-6 months),3.5.2. Funding stabilization or flexibility - Medium-term (6-18 months),3.5.3. Funding stabilization or flexibility - Long-term (18+ months),3.5.4. Funding stabilization or flexibility - N/A,3.6.1. Additional funding - Short-term (0-6 months),3.6.2. Additional funding - Medium-term (6-18 months),3.6.3. Additional funding - Long-term (18+ months),3.6.4. Additional funding - N/A,3.7.1. Rent or mortgage supports - Short-term (0-6 months),3.7.2. Rent or mortgage supports - Medium-term (6-18 months),3.7.3. Rent or mortgage supports - Long-term (18+ months),3.7.4. Rent or mortgage supports - N/A,"3.8.1. Financial supports for businesses and agencies (e.g. wage subsidies, tax relief) - Short-term (0-6 months)","3.8.2. Financial supports for businesses and agencies (e.g. wage subsidies, tax relief) - Medium-term (6-18 months)","3.8.3. Financial supports for businesses and agencies (e.g. wage subsidies, tax relief) - Long-term (18+ months)","3.8.4. Financial supports for businesses and agencies (e.g. wage subsidies, tax relief) - N/A",3.9.1. Access to larger space to accommodate physical distancing requirements - Short-term (0-6 months),3.9.2. Access to larger space to accommodate physical distancing requirements - Medium-term (6-18 months),3.9.3. Access to larger space to accommodate physical distancing requirements - Long-term (18+ months),3.9.4. Access to larger space to accommodate physical distancing requirements - N/A,3.10.1. Community coordination support (e.g. City-United Way Community Coordination Plan) - Short-term (0-6 months),3.10.2. Community coordination support (e.g. City-United Way Community Coordination Plan) - Medium-term (6-18 months),3.10.3. Community coordination support (e.g. City-United Way Community Coordination Plan) - Long-term (18+ months),3.10.4. Community coordination support (e.g. City-United Way Community Coordination Plan) - N/A,3.11. Other,"3.11.1. Other, please specify - Short-term (0-6 months)","3.11.2. Other, please specify - Medium-term (6-18 months)","3.11.3. Other, please specify - Long-term (18+ months)","3.11.4. Other, please specify - N/A","4. Please identify any additional supports needed for your agency for recovery and rebuild not listed in the question above, and indicate whether they are a short-term, medium-term, or long-term priority.Please do not provide any personal information in your response.",5.1. The health and wellness of employees,5.2. Maintaining cleaning and disinfection measures,5.3. Recruiting talent or staffing availability,5.4. Employee training,5.5. Having enough demand from clients when we reopen,5.6. Childcare for staff,5.7. None of the above,"5.8. Other, please specify",6.1. Public health guidance and information about COVID-19,6.2. Workplace modification supports (e.g. plexiglass barriers),6.3. Non-medical cloth masks or personal protective equipment (PPE),"6.4. Technology supports (e.g. devices, remote meeting technology)",6.5. Funding stabilization or flexibility,6.6. Additional funding,6.7. Rent or mortgage supports,"6.8. Financial supports for businesses and agencies (e.g. wage subsidies, tax relief)",6.9. Access to larger space to accommodate physical distancing requirements,6.10. Ongoing community coordination support (e.g. City-United Way Community Coordination Plan),"6.11. Other, please specify",7. What has your agency learned from the COVID-19 response that can inform preparation for a possible second wave of COVID-19? (e.g. importance of funding flexibility to respond quickly or list of essential services) Please do not provide any personal information in your response.,8.1. Seniors (70+),8.2. Isolated persons,8.3. Low-income individuals and families,8.4. Homeless or precariously housed individuals,8.5. Indigenous peoples,8.6. Black Torontonians,8.7. Racialized communities,"8.8. Newcomers, refugees, or refugee claimants",8.9. International students,8.10. Undocumented Torontonians,8.11. Youth,8.12. Women,8.13. LGBTQ2S+ communities,8.14. Residents living in congregate living situations (e.g. rooming houses),8.15. Persons with disabilities,8.16. None of the identified,"8.17. Other, please specify","9. Given existing long-standing constraints and the potential financial impacts of COVID-19, where do you see an opportunity for the City, other levels of government, and community partners to work differently and to improve programs or services to better serve vulnerable residents?Please do not provide any personal information in your response.",10. Do you have any recommendations on how to create jobs and boost local economic development in the COVID-19 recovery and rebuild process? How can the City and/or other levels of government support these solutions?Please do not provide any personal information in your response.,11. What are the critical issues and needs you see for your clients related to climate change and resilience during the COVID-19 recovery over the short and long-term?Please do not provide any personal information in your response.,11. Agencies_Corporations,12. Do you have any other comments or input that you would like the City to consider in planning for the COVID-19 recovery and rebuild process?Please do not provide any personal information in your response.,13. Please provide the first three characters of your agency's postal code:,14.1. Arts and culture,14.2. Children's services,14.3. Education and research,14.4. Environment,14.5. Employment and training,14.6. Ethno-specific services,14.7. Faith-based services,"14.8. Grants, fundraising, and voluntarism",14.9. Health and mental health,14.10. Homelessness,14.11. Human and social services,14.12. Immigration and settlement,14.13. Indigenous services and supports,"14.14. Law, advocacy and politics",14.15. Sports and recreation,14.16. Social housing,14.17. Seniors programs and services,14.18. Youth programs and services,14.19. Anti-racist service delivery,"14.20. Black, African, Caribbean community services and supports",14.21. LGBTQ2S+ programs and services,14.22. Services and supports for racialized residents,14.23. Services and supports for people with disabilities,14.24. Women's programs and services,14.25. Prefer not to answer,"14.26. Other, please specify",myLabel,16.1. Women,16.2. Youth,16.3. Seniors (age 65+),"16.4. Indigenous peoples (First Nations, Inuit, Métis)",16.5. Racialized groups,16.6. Black communities,"16.7. Newcomers, immigrants and refugees",16.8. Undocumented Torontonians,16.9. People with disabilities,16.10. Trans or non-binary people,"16.11. Lesbian, gay, bisexual or queer (LGBQ+ people)",16.12. Two-Spirit people,16.13. People living on low incomes,16.14. Other,16.15. Prefer not to answer,17. How many paid employees does your agency have? Please indicate based on usual operations.,18. What is your agency's annual operating budget?,"19. If desired, please provide your Agency Name, which will be used only for the purposes of better understanding the agencies that have participated in the process. Please note, it is optional to identify the Agency Name.",X154,X155,X156,X157,X158,X159,X160
18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,test,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,test,NA,NA,NA,NA,NA,NA,NA,test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,test,Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,test,test,test,test,NA,test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,test,Prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prefer not to answer,Prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA
19,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,NA,1,NA,1,NA,Funding flexibility and new funding,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Need more opportunities for community groups to Come together to support seniors. Need to provide more grants that can be used to supplement operating costs due to loss of user fees.,Continue with wage subsidy. Encourage community organizations to take on new staff,"Food security, access to technology and social isolation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05-Jan,"$250,000 - $499,999",The George S Syme Seniors Centre of York,NA,NA,NA,NA,NA,NA,NA
20,1,1,1,1,1,1,NA,1,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,NA,1,NA,NA,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,NA,NA,"Keeping essential staff (those who cannot work from home) on separate cohorts is very important as part of contingency planning. As sites start to open, we will have added staffing pressure as we're working with half the team we normally are. We will need to add additional staff",1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Provide space to offer programs safely and with distance. This has happened already but is being taken away which isn't logical given that the virus threat still exists,develop community based procurement plan for the city,"heat is a big issue, many do not have AC at home and being asked to stay home in the heat is a big health concern",NA,NA,m6m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,food security,"No, our service population is universal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-100,"$1,000,000 - $10,000,000",NA,NA,NA,NA,NA,NA,NA,NA
21,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,test,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,1,NA,NA,test,test,test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-100,"$500,000 - $999,999",NA,NA,NA,NA,NA,NA,NA,NA
22,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,1,1,NA,"quick and additional funding that is targeting to Covid related expanses, timely and up to date communication, coordination of services through downtown east Hub ( very effective), increased awareness of IPAC measures,staff capacity to work remotely, how to create social distancing. I have also learned that the City can step up and provide quick services for homeless individuals when there is the emergency and political will - we need to keep this energy and commitment and continue to prioritize our most marginalized clients.",1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,NA,NA,The absolute priority needs to be permanent deeply affordable housing and increases to income supports.,no,no,NA,no,M5A,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,harm reduction and Overdose prevention,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,21-100,"$1,000,000 - $10,000,000",Street Health,NA,NA,NA,NA,NA,NA,NA
23,1,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,1,NA,1,"Increased management hours to enable planning, coordination and COVID response","Suspended some programs but expanded others (e.g. seniors, food security)",1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,"Guidance/access to expertise and financial support for IT system upgrades and data security - short term priority Extension of legislation allowing electronic Board and members meetings beyond the state of emergency - short term  Expedited vulnerable sector check process by Toronto Police Service as more volunteer support is needed for seniors programming - short, medium and long term priority",1,1,NA,1,1,NA,1,"Space - amount and access (e.g. satellite location in church), health and wellness of clients/participants, financial/budget pressures (current and future), reassessing community needs, COVID-related legal liability, new/adapted program delivery models, emerging opportunities",1,1,1,1,1,1,NA,NA,1,1,NA,"Importance of up to date and portable devices (laptops, cell phones, tablets) to be able to function remotely,  importance of funding flexibility, value of partnerships and coordination in securing and leveraging resources",1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,People with pre-existing health conditions,"Build on, support and leverage local and sector networks, continue to provide active pathways for on-the-ground information to directly inform planning and decision-making, share and improve access to demographic and other relevant data, facilitate access to information and resources that all agencies need (e.g. PPE, COVID staff training modules, etc.)",not at this time,Heat mitigation at the household and agency - short term Strengthened sustainable local food systems - long term Access to green space - short and long term,NA,NA,M4L,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,food security,"No, our service population is universal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-100,"$500,000 - $999,999",Applegrove Community Complex,NA,NA,NA,NA,NA,NA,NA
24,1,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,Developed policy,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Grants,no,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Addictions,Yes,NA,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,NA,20-Nov,"$250,000 - $499,999",NA,NA,NA,NA,NA,NA,NA,NA
25,0,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,decrease capacity in our drop in/respite programs to accomodate social distancing.,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,1,1,1,1,NA,1,NA,NA,NA,1,NA,"Ensure staff are practicing social distancing, engaging in regular hand hygiene practices, and wearing PPE stops spread of the disease.",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City needs to develop long term response to housing homeless individuals.,Not at this time.,Housing and access to supports.,NA,Ensure that the different groups of individuals living in Toronto have a voice in the recovery and rebuild process.,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,Yes,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,21-100,"$1,000,000 - $10,000,000",NA,NA,NA,NA,NA,NA,NA,NA
27,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
